法人番号,空欄,空欄,空欄,サービスの名称（最大40文字）,サブタイトル（最大40文字）,サービスの対象者,サービスの対象分野,都道府県（全国サービスの場合はチェックなし）,対象地域群,空欄,空欄,空欄,サービス概要（最大200文字）,,空欄,開始日,終了日,サービス期間に関して自由に記入してください。（最大２０文字）,空欄,詳細情報URL,企業名等,空欄,空欄,サービス対象の業種（標準産業分類）,［事業者向けサービス］支援対象事業ステージ,［事業者向けサービス］サービス分類,［事業者向けサービス］「お困りごと」,［個人向けサービス］ライフステージ,［個人向けサービス］サービス分類,［個人向けサービス］お困りごと,災害名,キーワード,空欄,空欄,空欄,情報更新日,空欄,空欄,空欄,サービス費用,サービス詳細分類,［教育用サービスの場合］教育用サービス内容,主な所属団体名,記入者の連絡先（メールアドレス）・・非公開,本情報は、業界団体などを通じて各企業が登録した情報であり、情報の内容、情報活用等により生じた一切の責任を政府は負いません。情報源を確認するなどして、利用者の判断で活用してください。
,,,,新型肺炎休校サポート,,個人（中・高校生）,教育、学習支援,,,,,,国語・数学・理科・社会の学習動画を無償で提供し、中・高校生の自宅学習を支援します。利用者は、自分の学年や学習進度にあった動画を選び、スマートフォンなどで閲覧することができるようになっていて、臨時休校中の自宅学習の補助教材として活用していただくことが可能です。,,,2020/3/2,,期間備考,,https://linecorp.com/ja/pr/news/ja/2020/3101,LINEみらい財団,,,,,,,,サービス提供,,新型コロナウイルス感染症,オンライン学習,,,,2020-03-02,,,,無料,オンライン授業,,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,,
,,,,「カタリバオンライン」,,個人,教育、学習支援,,,,,,好きで好きでたまらない事がある大人、何かに秀でた名人などと、学校がお休みになり自宅で過ごす小中高生が、web会議システム「zoom」を使用して、双方向でやりとりするプログラムを行います。また、子ども達向けだけでなく、保護者向けの心のケアや相談プログラムも実施します。,,,2020/3/2,,終了時期未定,,https://note.com/kataribaonline/n/n3d78c5d8fac8,NPO法人カタリバ,,,,,,,,サービス提供,,新型コロナウイルス感染症,学習プログラム,,,,2020-03-01,,,,無料,オンライン授業,,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,,
,,,,新しいWEB演習システム「デキタス・コミュ」,,教育機関,教育、学習支援,,,,,,"個別指導の城南コベッツで使用している、スマホやタブレットで使えるオンライン演習システム
対象は小学5年から高校3年生まで。
３レベルに分かれた1問1答形式の問題が豊富に搭載されています。
「対戦モード」を利用して、学校の仲間と競い合いながら学習することが可能です。",,,,,ご利用開始より1カ月間,,https://www.covez.jp/junior/gonavi/gonavi03.html,株式会社城南進学研究社,,,,,サービス提供,,,,,新型コロナウイルス感染症,オンライン学習,,,,2020-03-01,,,,無料,オンライン授業,,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,,
,,,,オンライン学習アプリ「N予備校」,,個人,教育、学習支援,,,,,,"オンラインで自宅で学べるオールインワン学習アプリで家庭学習支援「N予備校」は、ドワンゴがN高と連携し独自に開発した、授業、教材（問題集・参考書）、Q＆Aシステムが一つになった学習アプリです。インターネットを活用することで、いつでもどこでも学習を進めることが可能です。
ライブ配信の生授業では、コメント機能を使って挙手や質問ができるなど双方向の参加型授業を受けることができ、アーカイブされた映像授業では、ノートを取る時に一時停止したり、わからなかった所は何度も見返すことができたりと、自分のペースで学べます。
また、大学受験の授業では、指導経験豊富で受験を知り尽くした実力派予備校講師陣、プログラミングでは、現役エンジニアが講師を務めます。両者は今回の無料開放によって、多くの生徒・保護者が抱える家庭学習への不安を解消する一助となればと考えています。",,,2020/3/1,,終了時期未定,,https://nnn.ed.jp/news/blog/archives/10023.html,株式会社ドワンゴ,,,,,,,,サービス提供,,新型コロナウイルス感染症,オンライン学習,,,,2020-02-29,,,,無料,オンライン授業,,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,,
,,,,ICT教材「eboard（イーボード）」,,個人利用・学校利用（両方）,教育、学習支援,,,,,,"ICT教材eboardは、インターネット環境があれば、パソコンやタブレット、スマートフォンなど環境を問わず、小中学校の内容を学習できます。2,500本の映像授業での丁寧な理解から、7,000問以上のデジタルドリルでの確認・定着まで、幅広くご利用頂けます。",,,,,,,https://info.eboard.jp/2020/02/27/coronavirus_action/,NPO法人eboard,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,オンライン学習,,,,2020-02-29,,,,無料,オンライン授業,,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,,
,,,,「gacco」,,個人利用・学校利用（両方）,教育、学習支援,,,,,,"さまざまなジャンルの講座を無料で受講することができます。
インターネットの基礎知識など家族で学べるコンテンツも提供しています。",,,,,,,https://gacco.org/,株式会社NTTドコモ,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,オンライン学習,,,,2020-03-03,,,,割引,オンライン授業,,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,,
,,,,「考える力養成講座」,,個人（中学・高校生向け）（先着100名様）,教育、学習支援,,,,,,学校で学んだ知識と経験を総動員して自ら「考え」「行動」し、「今、自分は何をすべきなのか？」という問いに立ち向かうためのオンライン講座「考える力養成講座」を全３回にわたって行います。,,,,,,,https://event.aigrow.jp/class_online,Institution for a Global Society 株式会社,,,,,,,,サービス提供,,新型コロナウイルス感染症,オンライン学習,,,,2020-03-05,,,,無料,オンライン授業,,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,,
,,,,遠隔授業・イベント配信向け　クラウド会議サービス 「Cisco Webex」,,教育機関,教育、学習支援,,,,,,クラウド型Web会議システム「Cisco Webex Meetings」を無償提供します。教育機関での遠隔授業、先生方同士の連絡手段として、また保護者の方々とのコミュニケーション、行事イベント等のライブ中継、録画配信（Facebook等とも連携できます。）にご利用いただけます。国内外問わず、これまで、世界各国の教育機関において活用実績も多数あります。,,,,,利用開始日より90日間,,"https://www.cisco.com/c/m/ja_jp/solutions/collaboration/webex90days.html?dti
d=odicdc000136
",シスコシステムズ合同会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,Web会議,,,,2020-03-05,,,,無料,ビデオ会議,,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,,
,,,,すき！がみつかる　放課後「たのしーと」,,学童施設向け・家庭向け,教育、学習支援,,,,,,小学校低学年向けの遊びを無料で提供するWEBサービス。学童施設向けでしたが、小学校が休校となってご家庭にいるお子さま向けにも対象を拡大しました。遊びと学びのプロたちが 「子どもたちに夢中になって欲しい」という思いを込めて制作した「工作」「体あそび」「言葉」「数・図形」など、 幅広いジャンルの遊びのタネがそろっています。,,,,,,,https://houkago.asahi.com/,株式会社朝日新聞社,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,オンライン学習,,,,2020-03-05,,,,無料,オンライン授業,,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,,
,,,,サイエンス動画教材「MIT+K12ビデオ」,,個人,教育、学習支援,,,,,,"MIT（マサチューセッツ工科大学）が提供するサイエンス動画教材「MIT+K12ビデオ」（STEM教育ビデオ）を無償提供いたします。
すべての動画は1本５分程度で学習しやすく、動画数は13コース、110本以上です。
内容は物理、化学、生物、電気などのほか、デザイン、ニュークリアサイエンス、Science Out Loud（先進科学詰め合わせ）など。すべて日本語・英語字幕付きです。",,,,,,,https://www.asuka-academy.com/mitk12/index.html,NPO法人 Asuka Academy,,,,,,,,サービス提供,,新型コロナウイルス感染症,オンライン学習,,,,2020-03-04,,,,無料,オンライン授業,,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,,
