法人番号,空欄,空欄,空欄,サービスの名称（最大40文字）,サブタイトル（最大40文字）,サービスの対象者,サービスの対象分野,都道府県（全国サービスの場合はチェックなし）,対象地域群,空欄,空欄,空欄,サービス概要（最大200文字）,,空欄,開始日,終了日,サービス期間に関して自由に記入してください。（最大２０文字）,空欄,詳細情報URL,企業名等,空欄,空欄,サービス対象の業種（標準産業分類）,［事業者向けサービス］支援対象事業ステージ,［事業者向けサービス］サービス分類,［事業者向けサービス］「お困りごと」,［個人向けサービス］ライフステージ,［個人向けサービス］サービス分類,［個人向けサービス］お困りごと,災害名,キーワード,空欄,空欄,空欄,情報更新日,空欄,空欄,空欄,サービス費用,サービス詳細分類,［教育用サービスの場合］教育用サービス内容,主な所属団体名,記入者の連絡先（メールアドレス）・・非公開,本情報は、業界団体などを通じて各企業が登録した情報であり、情報の内容、情報活用等により生じた一切の責任を政府は負いません。情報源を確認するなどして、利用者の判断で活用してください。
,,,,コワーキングスペース,,"個人, 企業等",ワークスタイル（テレワーク含む）,,,,,,300円/時でコワーキングスペースを提供。融資制度と補助金関連の情報提供及び支援も行っています。,,,,,,,https://matsudo-startup.jp/,松戸スタートアップオフィス,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,テレワーク,,,,2020-03-11,,,,その他,オフィスなどの空間,,テレワーク・デイズ登録企業,,
,,,,LINE WORKS,,"個人, 企業等, 教育機関, 医療機関, 福祉施設, 行政機関","ワークスタイル（テレワーク含む）, コミュニケーション",,,,,,チャットやスタンプはもちろん、掲示板、カレンダー、アドレス帳、アンケートなど、仕事で活用できる充実した機能を揃えた「ビジネス版LINE」です。なじみのあるコミュニケーションアプリ「LINE」と同じ使い勝手のため、ユーザーの教育も必要なく、導入したその日から 誰でもすぐに使えます。,,,2020/3/4,2020/9/4,2020年3月4日より6カ月（2020年9月4日まで）,,https://line.worksmobile.com/jp/pr/20200304/,ワークスモバイルジャパン株式会社,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,テレワーク導入相談窓口,,,,2020-03-11,,,,無料,遠隔作業環境,,テレワーク・デイズ登録企業,,
,,,,?オンライン英会話レッスン（グループレッスン）,,個人,教育、学習支援,,,,,,日本の小学生を対象にオンライン英会話レッスンを無料で提供いたします。アプリや動画を使った学習ではなく、フィリピン・セブ島から英語教師がライブで行う授業になります。午前9時から午後 6時の時間帯にて、授業を受けることが可能です。,,,,,,,https://qqenglish.page/forchildren/,株式会社QQ English,,,,,,,,サービス提供,,新型コロナウイルス感染症,オンライン学習,,,,2020-03-11,,,,無料,オンライン授業,,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,,
,,,,「プログラミングクエスト」,,個人,教育、学習支援,,,,,,プログラミングクエストは沖縄女子短期大学との共同研究により、効果的な動画学習を目指して開発されたど学習教材です。パソコンに慣れ親しむ、プログラミングの仕組みを知るということをコンセプトに、3年半でのべ1万人が体験しました。小中高の学生や教員の方にも研修で用いられ、大人から子供まで楽しみながらプログラミング学習をすすめることが出来ます。,,,,,,,https://school.tsukurukids.com/,一般社団法人ツクル,,,,,,,,サービス提供,,新型コロナウイルス感染症,オンライン学習,,,,2020-03-10,,,,無料,オンライン授業,,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,,
,,,,「観光予報プラットフォームData Science」,,,教育、学習支援,,,,,,観光予報プラットフォームData Scienceは「観光」ビッグデータ活用したSTEAM学習を提供いたします。,,,,2020/6/30,,,https://learning-steam-ds.kankouyohou.com/,観光予報プラットフォーム推進協議会,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,オンライン学習,,,,2020-03-06,,,,無料,オンライン授業,,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,,
,,,,らくーざ,,企業等,ワークスタイル（テレワーク含む）,,,,,,在宅勤務を導入する企業に社員の出社状況がわかるシステムを提供,,,2020/3/10,,利用開始から1ヶ月間は無料,,https://www.racooza.com/zaitaku/,日本事務器株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-11,,,,無料,遠隔作業環境,,コンピュータソフトウェア協会,,
,,,,チームToDo,,"企業等, 教育機関, 医療機関, 福祉施設, 行政機関",ワークスタイル（テレワーク含む）,,,,,,"「チームToDo」はチーム内でToDoを共有するクラウドサービスです。
ToDoをチェックすると日報に自動反映しますので、離れた場所にいる部下の仕事内容を管理することができます。",,,2020/3/9,2020/9/30,期間内であれば月数に制限なく無料でお使い頂けますが導入支援は有料になります,,https://www.actuarise.co.jp/release/20200309.html,ａｃｔｕａｒｉｓｅ株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,タスク共有、日報自動作成ツール,,,,2020-03-12,,,,無料,遠隔作業環境,,テレワーク・デイズ登録企業,,
,,,,画面cliple（クリップる）,,"企業等, 教育機関, 医療機関, 福祉施設, 行政機関",ワークスタイル（テレワーク含む）,,,,,,画面clipleは簡単な操作でパソコン画面のスクリーンショットを撮るソフトです。スクリーンショット画像は自動でクラウドにアップロードされ、リンクがクリップボードにコピーされるので、メールやチャットに貼り付けて他のメンバーに送ることができます。,,,2020/3/9,2020/9/30,期間内であれば月数に制限なく無料で使えますが、導入支援は有料になります,,https://www.actuarise.co.jp/release/20200309.html,ａｃｔｕａｒｉｓｅ株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,他のメンバーにパソコン画面を見せるソフト,,,,2020-03-12,,,,無料,遠隔作業環境,,テレワーク・デイズ登録企業,,
,,,,ペーパレス会議システム「moreNOTE」無償提供,,"企業等, 行政機関",ワークスタイル（テレワーク含む）,,,,,,ペーパーレス会議システム「moreNOTE」を、テレワークや在宅勤務、遠隔会議の実施を必要としている企業に無償提供しています。,,,2020/2/27,,受付終了時期は未定（利用期間は登録後３カ月間）,,https://www.morenote.jp/archives/1545/?fm=news,富士ソフト株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-12,,,,無料,遠隔作業環境,,日本ネットワークセキュリティ協会,,
,,,,スマート配信,,"企業等, 教育機関, 医療機関, 福祉施設, 行政機関",コミュニケーション,,,,,,【新型コロナウィルス等の緊急連絡に！】企業団体内の一斉連絡、安否確認等を迅速・確実に実現できます。,,,,,,,https://www.a-i-d.co.jp/solution/our_products/mail_deli.html,株式会社アドヴァンスト・インフォーメイション・デザイン,,,,,サービス提供,,,,,新型コロナウイルス感染症,情報配信、一斉配信、スピード導入、安価、スマートフォン・ガラケーに対応,,,,2020-03-12,,,,その他,,,全国地域情報産業団体連合会,,
,,,,TRUST DELETE prime,,"個人, 企業等, 教育機関, 医療機関, 福祉施設, 行政機関",ワークスタイル（テレワーク含む）,,,,,,"モバイルパソコンの盗難・紛失時は、リモートロック・消去でデータ漏えいを防止します。オフラインでも自律制御セキュリティ機能が監視ポリシーの違反を検知すると大音量アラームやロック・消去でパソコンとデータを保護します。
自律制御セキュリティ機能は持ち出し禁止パソコンの不正利用の防止にも有効です。",,,2020/3/1,,利用開始から3か月,,https://www.onebe.co.jp/2020TDM/index.html,ワンビ株式会社,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,テレワーク、セキュリティ、情報漏えい対策,,,,2020-03-12,,,,無料,遠隔作業環境,,コンピュータソフトウェア協会,,
,,,,テレワークシステム評価貸出、提案/導入支援,,企業等,ワークスタイル（テレワーク含む）,,,,,,テレワーク（リモートワーク）システムの評価ライセンスの無償貸し出し（30日間）。製品調達仕様にあわせ複数製品から製品選定し提案および導入作業を支援（有償提供）。,,,2020/3/10,,指定なし,,https://www.tdi.co.jp,情報技術開発株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-12,,,,その他,,,情報サービス産業協会（JISA）,,
,,,,需要予測型自動発注システム「sinops」,,企業等,その他,,,,,,"万一感染者が発生もしくは拡大を防止するための措置により、濃厚接触者は一定期間自宅待機となります。 発注担当者の不在に備え、当社の自動発注ノウハウから簡易的な発注データ（先14日分）を無償でご提供させていただきます。
",,,2020/3/11,,終了時期未定,,https://www.sinops.jp/wp-main/wp-content/uploads/2020/03/againstvirus-1.pdf,株式会社シノプス,,,,,サービス提供,,,,,新型コロナウイルス感染症,先14日間の緊急用発注データの無償提供,,,,2020-03-12,,,,無料,,,その他,,
,,,,オンラインおうち学校,,"教育機関, 非営利型一般社団法人",教育・学習支援,,,,,,各界の第一人者から授業を受けられるオンライン学校です。社会、理科、英語、国語、体育など、学校の授業では聞けない一歩進んだ、一歩踏み込んだ内容を提供しています。専門家の先生方に直接質問できるのもオンライン学校の醍醐味です。,,,2020/3/2,,一斉休校期間は継続し、その後も、ハイブリッドスクーリングの可能性の一つとしてサービス提供を続ける所存です。,,https://www.alba-edu.org/onlineouchigakko/,一般社団法人アルバ・エデュ,,,,,サービス提供,,,,,新型コロナウイルス感染症,オンライン授業,,,,2020-03-12,,,,割引,オンライン授業,,その他,,
,,,,Blink community,,"個人, 企業等","ワークスタイル（テレワーク含む）, その他",,,,,,コワーキングスペース&シェアオフィス の運営をしております。この度、WEB会議システムを導入し、テレワーク環境を整えました。入居企業以外に一日利用でテレワークが必要な方には、機材の無料レンタルを開始しました。,,,2020/3/2,,終了期間未定,,https://www.blinkcommunity.com/?lang=ja,Blink Roppongi合同会社,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,テレワーク用WEB会議機材無料レンタル,,,,2020-03-12,,,,その他,オフィスなどの空間,,テレワーク・デイズ登録企業,,
,,,,イマキク,,"個人, 企業等, 教育機関, 医療機関, 福祉施設, 行政機関, MICE、セミナー・イベント・学会、会社説明会・社内研修など、ライブ配信対応が必要な企業も対応可能","教育・学習支援, ワークスタイル（テレワーク含む）, コミュニケーション",,,,,,"自分のスマホ・タブレット・PCから、QRコードを読取るだけで、即リアルタイム投票・コメント投稿ができます。
ライブ配信による会社説明会・イベント・セミナー・学会、MICE、会議などを実施する方は試してください。",,,2020/3/1,,会員登録するだけ！基本機能はずっと無料で利用できます,,https://imakiku.com,株式会社天問堂,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,リアルタイム投票・コメント投稿・アンケート（アプリ不要で即使える）,,,,2020-03-12,,,,無料,遠隔作業環境,,その他,,
,,,,WEB会議機器無料貸し出し,,"個人, 企業等, 教育機関, 医療機関, 福祉施設, 行政機関","ワークスタイル（テレワーク含む）, コミュニケーション, その他",,,,,,WEB会議等で必要なカメラ・ヘッドホン・モニター・大型モニター・プロジェクターなどを無料貸し出し致します。,,,2020/3/12,,終了時期未定,,https://www.incubation-office-agora.com,コワーキングスペースBUSO AGORA,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,テレワーク,,,,2020-03-12,,,,無料,遠隔作業環境,,テレワーク・デイズ登録企業,,
,,,,TENT幕張,,"個人, 企業等",ワークスタイル（テレワーク含む）,,,,,,千葉にお住まいで都内までの通勤にご苦労されている方にテレワークスペースをご提供しております。一時利用（ドロップイン）は9:00-24:00まで（土日は20:00まで）ご利用いただけます。,,,2020/3/1,,終了時期未定,,https://www.tent-makuhari.com,ステップチェンジ株式会社,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,千葉市のコワーキングスペース,,,,2020-03-12,,,,その他,オフィスなどの空間,,テレワーク・デイズ登録企業,,
8010401056384,,,,FUJITSU Software TIME CREATOR,,企業等,ワークスタイル（テレワーク含む）,,,,,,テレワークの労務管理の不安解消ツールを、期間限定特別価格で提供。PCの使用時間・操作ログを記録し、テレワーク時の働き過ぎ抑止や業務内容の見える化を支援します。,,,2020/04/01,2021/03/31,,,http://www.fsas.fujitsu.com/service/time-creator/,株式会社富士通エフサス,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク、ワークスタイル、労務管理,,,,2020/11/04,,,,割引,"テレワーク, 遠隔作業環境",,テレワーク・デイズ登録企業,,
,,,,FUJITSU Infrastructure System Integration デスクトップ仮想化サービス,,企業等,ワークスタイル（テレワーク含む）,,,,,,仮想化・シンクライアント・セキュリティなどの様々な技術をベースに”いつでも・どこでも安全・安心・快適なデスクトップ環境”をご提供いたします。,,,,,,,https://www.fujitsu.com/jp/fsas/services/application-services/application-development-integration/cloud/desktop/,株式会社富士通エフサス,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-12,,,,その他,遠隔作業環境,,テレワーク・デイズ登録企業,,
,,,,FUJITSU Security Solution機密情報保護＆共有ソリューション RightspiaR for Secure Documents,,企業等,ワークスタイル（テレワーク含む）,,,,,,社外から社内ネットワークにアクセスすることにより、情報漏えいの危険性がより高まります。パスワード不要のファイル暗号化により、シンプルな運用で強固に機密情報を保護することができます。,,,,,,,https://www.fujitsu.com/jp/fsas/solutions/business-technology/security/rightspia/,株式会社富士通エフサス,,,,,現物支給・貸与,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-12,,,,その他,遠隔作業環境,,テレワーク・デイズ登録企業,,
,,,,FUJITSU Security Solutionセコム電子証明書サービス,,企業等,ワークスタイル（テレワーク含む）,,,,,,セコムトラストシステムズ社で厳重に管理されている認証局にて信頼性の高い証明書を発行し、正しいデバイスからのみシステムへの接続を許可するなど、なりすましを防止します。,,,,,,,https://www.fujitsu.com/jp/fsas/solutions/business-technology/security/secom/private-ca/index.html,株式会社富士通エフサス,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-12,,,,その他,遠隔作業環境,,テレワーク・デイズ登録企業,,
,,,,FUJITSU Managed Infrastructure Service スマートデバイス-LCMサービス,,企業等,ワークスタイル（テレワーク含む）,,,,,,様々な職種や環境で利用されるスマートデバイスをICTの視点から企画・設計・導入展開・運用までワンストップで提供します。,,,,,,,https://www.fujitsu.com/jp/fsas/services/infrastructure/end-user-services/system/smartdevice-lcm/,株式会社富士通エフサス,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-12,,,,その他,遠隔作業環境,,テレワーク・デイズ登録企業,,
,,,,オリジン・オンライン英会話,,"個人, 企業等, 教育機関",教育・学習支援,,,,,,"オリジン・オンライン英会話は子ども専門のオンライン英会話サービスです。
ネイティブの先生と毎日、オンラインで英語が学べます。
予約不要、時間固定、２０回／月、２０分／回、無料の専用ソフト、入学金なし
割引価格：12000円／月
",,,,,,,http://www.originedu.jp/,INTERLINE株式会社,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,オンライン英会話,,,,2020-03-12,,,,割引,オンライン授業,,日本情報技術取引所,,
,,,,LogicalMind ENTERPRISE,,教育機関,"教育・学習支援, 医療、福祉, 宿泊、飲食サービス, コミュニケーション",,,,,,"株式会社マインドシフト（本社：東京都中央区、代表取締役：谷水裕彦）は、新型コロナウイルスの感染拡大に伴う生徒・学生・保護者への対応を行う学校法人様向けに、当社が運営するAIチャットボットサービス「LogicalMind ENTERPRISE」を無償提供いたします。

生徒・学生・保護者からの新型コロナウイルスに関する問い合わせに、人を介さずに自動で対応します。
簡単な問合せはチャットボットで対応し、複雑な問合せは文部科学省提供の既存文書から情報を探すといったすみ分けで、問合せスピード向上を目指します。",,,2020/3/11,2020/6/30,6月末まで,,https://logicalmind.jp/,株式会社マインドシフト,,,,,サービス提供,,,,,新型コロナウイルス感染症,チャットボット,,,,2020-03-12,,,,無料,コミュニケーション支援,,データ通信協会,,
,,,,Gakken 家庭学習応援サイト,,個人,教育・学習支援,,,,,,小学校・中学校・高等学校・特別支援学校の臨時休校中に家庭でできる教材を無料で提供いたします。ぜひお役立てください。,,,2020/3/2,,未定（開始時は3月31日を予定していましたが、状況に応じて延長の方針です。）,,https://www.gakken.co.jp/homestudy-support/,株式会社学研ホールディングス,,,,,,,,サービス提供,,新型コロナウイルス感染症,オンライン学習,,,,2020-03-12,,,,無料,オンライン授業,,日本教育情報化振興会,,
1020001071491,,,,仮想デスクトップサービスV-DaaS,,"企業等, 教育機関, 医療機関, 福祉施設, 行政機関",ワークスタイル（テレワーク含む）,,,,,,テレワーク初期導入時のハードルを下げるため、富士通の提供する「仮想デスクトップサービス V-DaaS」の初期費と月額利用料3か月分を無料でご提供します。,,,2020/08/01,2020/12/25,,,https://www.fujitsu.com/jp/services/infrastructure/virtualdesktop/v-daas/campaign/telework/index.html,富士通株式会社,,,,"起業時, 事業運営時, 事業再生・承継等",サービス提供,"IT化, 事業承継, 災害対応",,,,新型コロナウイルス感染症,テレワーク,,,,2020/11/13,2020/12/26,,,無料,"テレワーク, 遠隔作業環境, 情報通信",,日本テレワーク協会,,
,,,,サテライトオフィス誘致、テレワーク拠点の紹介,,企業等,行政サービス等,,,,,,企業等からの問い合わせ対応、視察の受入れ、コワーキングスペースなどテレワーク拠点の紹介、地域情報の発信、企業間マッチングの促進,,,新型コロナ以前より開始,,,,http://nishiawa-so.com/,徳島県西部総合県民局　にし阿波サテライトオフィスコンシェルジュ,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,,,,,その他,オフィスなどの空間,,テレワーク・デイズ登録団体,,
,,,,サテライトオフィス誘致、テレワーク拠点の紹介,,企業等,行政サービス等,,,,,,企業等からの問い合わせ対応、視察の受入れ、コワーキングスペースなどテレワーク拠点の紹介、地域情報の発信、企業間マッチングの促進,,,新型コロナ以前より開始,,,,http://www.city.mima.lg.jp/gyousei/kurashi/ijyusokushin/sateraito_so.html,美馬市　美馬市サテライトオフィス体験施設「創～so～」,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,,,,,その他,オフィスなどの空間,,テレワーク・デイズ登録団体,,
,,,,サテライトオフィス誘致、テレワーク拠点の紹介,,企業等,行政サービス等,,,,,,企業等からの問い合わせ対応、視察の受入れ、コワーキングスペースなどテレワーク拠点の紹介、地域情報の発信、企業間マッチングの促進,,,新型コロナ以前より開始,,,,https://miyoshi-satelliteoffice.jp/,三好市　三好市サテライトオフィス,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,,,,,その他,オフィスなどの空間,,テレワーク・デイズ登録団体,,
,,,,サテライトオフィス誘致、テレワーク拠点の紹介,,企業等,行政サービス等,,,,,,企業等からの問い合わせ対応、視察の受入れ、コワーキングスペースなどテレワーク拠点の紹介、地域情報の発信、企業間マッチングの促進,,,新型コロナ以前より開始,,,,https://www.soumu.go.jp/satellite-office/group/tokushima/index.html,つるぎ町　総務省お試しサテライトオフィス,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,,,,,その他,オフィスなどの空間,,テレワーク・デイズ登録団体,,
,,,,サテライトオフィス誘致、テレワーク拠点の紹介,,企業等,行政サービス等,,,,,,企業等からの問い合わせ対応、視察の受入れ、コワーキングスペースなどテレワーク拠点の紹介、地域情報の発信、企業間マッチングの促進,,,新型コロナ以前より開始,,,,https://www.soumu.go.jp/satellite-office/group/tokushima/index.html,東みよし町　総務省お試しサテライトオフィス,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,,,,,その他,オフィスなどの空間,,テレワーク・デイズ登録団体,,
,,,,BT MeetMe with Dolby Voice,,企業等,情報通信,,,,,,"高音質のクラウド型電話会議サービス。無料期間終了後も、固定費用は発生しない完全従量課金の仕組み。（利用しない月は費用発生なし。）
ヘルプデスク（日本語英語両対応）による電話での利用方法等のサポート可能。",,,,,アカウント発行から基本的に30日間,,https://www.globalservices.bt.com/ja,BT Japan,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,,,,,無料,,,（一社）情報通信ネットワーク産業協会（CIAJ),,
,,,,Webex by BT,,"企業等, 教育機関, 医療機関, 福祉施設, 行政機関",情報通信,,,,,,Webexをグローバルに活用を希望するお客様への特別プラン,,,2020/3/19,,開始から90日,,https://www.globalservices.bt.com/en,BT Japan,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,,,,,割引,,,（一社）情報通信ネットワーク産業協会（CIAJ),,
,,,,しごとコンパス,,企業等,情報通信,,,,,,"PCの操作ログから「働き方」を見える化することで、
社員１人ひとりの意識と行動改革を促すクラウドサービスです",,,2020/3/4,2020/5/31,,,https://panasonic.biz/cns/pc/workstyle/telework_support/,パナソニック株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-05,,,,無料,,,（一社）情報通信ネットワーク産業協会（CIAJ),,
,,,,TRUST DELETE Biz,,企業等,情報通信,,,,,,PCの盗難・紛失時に、遠隔操作でデータ消去を実行するサービス。ワイヤレスWANモデルであればPCの電源がオフでもLTEを使用してデータの完全消去が可能です。,,,2020/3/4,2020/5/31,,,https://panasonic.biz/cns/pc/workstyle/telework_support/,パナソニック株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-05,,,,無料,,,（一社）情報通信ネットワーク産業協会（CIAJ),,
,,,,Poly ヘッドセット・スピーカー フォン無償貸し出しプログラム,,企業等,情報通信,,,,,,テレワークの必須アイテム、ヘッドセット・スピーカー フォンを無償でお貸出しします。Polyが、クリアな音声で確かなコミュニケーションを実現し、ビジネス継続のお手伝いを致します。,,,,2020/6/30,応相談,,https://www.plantronics.com/jp/ja/offers/try-before-you-buy,ポリコムジャパン株式会社 (Poly),,,,,現物支給・貸与,,,,,新型コロナウイルス感染症,テレワーク,,,,,,,,無料,,,（一社）日本テレワーク協会,,
,,,,【岡崎ビジネスサポートセンターOKa－Biz】オンライン相談サービス「おうちビズ」,,企業等,情報通信,,,,,,岡崎ビジネスサポートセンターOKa－Bizによるオンライン相談サービス「おうちビズ」スタート,,,2020/3/3,,,,https://www.oka-biz.net/info/press/entry-624.html,岡崎市（岡崎ビジネスサポートセンターOKa－Biz）,,,,,その他,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-03,,,,無料,,,（一社）日本テレワーク協会,,
,,,,RPAリモート接続ツール「OnRPA」,,企業等,情報通信,,,,,,OnRPAは、デスクトップ型のRPAソフトをテレワーク利用する際に、ロボPCの空き状況を確認して競合接続を防止できるツールです。 複数の拠点や自宅などからのRPA利用を促進します。2台のRPAロボPCを管理できるOnRPAを無料にてダウンロードいただけます。また、インストールできるPCの台数と利用期間に制限はありません。,,,,,,,https://www.axio.co.jp/products/winactor/onrpa.html,株式会社アクシオ,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,,,,,無料,,,（一社）日本テレワーク協会,,
,,,,Easyテレワーク by InCircle,,企業等,情報通信,,,,,,簡単な操作ですぐ使えるInCircel(ビジネスチャット)でテレワーク環境およびBCP対策を提供します。4月以降のご契約でも無償期間についてはご相談を受け付けております。,,,2020/3/2,,2020年3月分無料,,https://www.incircle.jp/easytelework/,AI CROSS株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-02,,,,割引,,,（一社）日本テレワーク協会,,
,,,,SECUREMATRIX パンデミックライセンス,,企業等,情報通信,,,,,,対象の【条件について】お客様：SECUREMATRIX V4.1/V10/V11のライセンスをお持ちのお客様　販売期間：2020年3月3日から2020年5月末日　ライセンス期間：3か月間（弊社出荷日から90日間）提供ライセンス：「ソフトウェアライセンス（標準価格90％OFF）」＋「保守サポート」の3か月間パック,,,2020/3/3,2020/5/31,ライセンス有効期間は利用開始から90日間です。,,https://www.cseltd.co.jp/news/news-7076/,株式会社シー・エス・イー,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-03,,,,割引,,,（一社）日本テレワーク協会,,
,,,,テレワーカーの業務内容を把握する「HeartCore TaskMining」を無償でご提供,,企業等,情報通信,,,,,,ハートコア株式会社は、政府の新型コロナウイルスの感染拡大に伴うテレワーク推奨宣言を受け、PCの操作ログを収集し従業員ひとりひとりの業務内容を可視化するための新製品「HeartCore TaskMining」の無償提供を開始します。 テレワークを導入したものの、セキュリティ問題やコミュニケーション不全そして労務管理問題など、今後のテレワーク推進にあたり解決すべき課題が見えてきた企業も多いでしょう。「HeartCore TaskMining」は、各PCの操作ログを収集し従業員ひとりひとりがどの時間にどのアプリケーションを使いどのような作業をしていたか、詳細に可視化します。これにより、遠隔地で勤務している従業員の1日の業務内容を把握することができます。また、従業員のWebサイトの閲覧を制限したり、メールやファイルの取り扱いを監視したり、社内セキュリティに配慮した運用も可能となります。,,,2020/3/11,,新型コロナウイルス(COVID-19)収束宣言まで,,https://www.heartcore.co.jp/lp/taskmining.html,ハートコア株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-11,,,,無料,,,（一社）日本テレワーク協会,,
,,,,シンクライアントソリューション,,企業等,情報通信,,,,,,テレワークを導入する企業に完全シンクライアントソリューション「monoPack」を一定期間、1社最大10クライアントを無償貸与する。,,,2020/3/11,2020/5/31,2020/4/30受付終了,,https://www.know-net.co.jp/,日本ナレッジ株式会社,,,,,現物支給・貸与,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-11,,,,無料,,,（一社）日本IT団体連盟,,
,,,,シンクライアントソリューション,,企業等,情報通信,,,,,,テレワークを導入する企業に完全シンクライアント＋VPNソリューション「monoPack connect」を特別価格で提供する。,,,2020/3/23,2020/5/31,予定量終了まで,,https://www.know-net.co.jp/,日本ナレッジ株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-23,,,,割引,,,（一社）日本IT団体連盟,,
,,,,テレワークでの安全・快適なPC利用「ZENMU Virtual Desktop」,,企業等,情報通信,,,,,,テレワークでの安全・快適なPC利用を実現し、面倒なサーバー設定不要で、オフラインでも安全なデータ利用が可能な「ZENMU Virtual Desktop」を 期間限定で無償提供します。,,,2020/3/5,2020/5/31,,,https://zenmutech.com/information/news/newsrelease-20200305,株式会社ZenmuTech,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-05,,,,無料,,,（一社）コンピュータソフトウェア協会,,
,,,,グループウェア「desknet's NEO」クラウド版（100ユーザー）,,"企業等, 教育機関",情報通信,,,,,,"ポータル・インフォメーション・文書管理・ウェブメール・ワークフロー・安否確認など、desknet's NEOの持つすべての機能をご利用いただけます。
より安全性の高いテレワーク環境を構築いただけるよう、管理外の端末からの利用を制限できる「クライアント認証サービス（200デバイス分）」も無償提供いたします。
※100ユーザー固定での提供であり、クライアント認証以外のオプションは選択できないことをご留意ください。",,,2020/3/9,2020/6/30,,,https://www.neo.co.jp/corp/telework-support.html,株式会社ネオジャパン,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-09,,,,無料,,,（一社）コンピュータソフトウェア協会,,
,,,,ペーパーレス会議システム SmartDiscussion,,企業、地方自治体、教育機関等への提供,情報通信,,,,,,在宅勤務やリモートワークを行う企業や地方自治体、教育機関等の諸団体の円滑な情報共有を支援するため、資料共有/ペーパーレス会議システムSmartDiscussion(スマートディスカッション)のクラウドサービス環境を最大120日間無償提供します。,,,2020/3/5,2020/7/3,,,https://www.kicnet.co.jp/mobile/smartdiscussion/index.html,キッセイコムテック株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-05,,,,無料,,,（一社）全国地域情報産業団体連合会,,
,,,,テレワーク導入診断,,企業等,情報通信,,,,,,「自社の業務、システムをどのようにテレワーク化するか」の診断を行います。,,,,,,,https://ties.jp/,株式会社タイズ,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,,,,,無料,,,地方版IoT推進ラボ事務局,,
,,,,テレワーク導入支援,,企業等,情報通信,,,,,,社内業務のテレワーク化指導、自宅などからの社内アクセスの仕組みを提供,,,,,,,https://ties.jp/,株式会社タイズ,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,,,,,割引,,,地方版IoT推進ラボ事務局,,
